surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
tasks.editor.existing-input.large	6ef38cfc68df6c75c530436a6c339831d19da507c4f74c7015dfc628f65c94af	181843	a078d31d7c2701149e9b537319e6b781be2f76e6e8b8d179c96c1613adee9ab0	100946
tasks.editor.existing-input.ordinary	cd167ee5350329981fa93ec3dcef163d343ca77b284db338cff2257041156090	159286	95a85891cd962a80c63cfff6d71fa8966b5bc157f0f4791b273c3c26823742d9	104842
tasks.editor.existing-open.large	c6c7a0320b42f38fd7da37503fa23b4a7d763a8075f979533d439ca1c9e243d0	164527	3829dffa7b80e635e96c33acbc818b947ec5a27123b65f34e7be50eca6440234	31202
tasks.editor.existing-open.ordinary	8d33c7928c1eedbfd4cc915f5ed81ffca5745aaa59da4603f84097ee913541b2	153695	794c5f4cd81e2e34a908f8e4ef8dbcf264a200f1e4451f3b564fed16cc0de9aa	41029
tasks.editor.existing-recreated.large	46dbd00606965009de1c6b86a6cb6b04c5558e4b81947f9265cf2494c978031e	184796	376f4f49076754d0a09ab3e30733dcf1fcd1a8e8e217e88cf302ee2a1c893c63	97043
tasks.editor.existing-recreated.ordinary	331a67cca2094e692c6a02b37d301b82253796d5fce9efc3ae9ba6767745e57e	161100	6f655cc3ed5a7111d404206c535bf01f800557294ba947c51c23cd077f3e1e35	106482
tasks.editor.existing-reopened.large	0538c0be8628c5bb669824af745d4f18b244a00a6d9dac98cc600145629fb5b2	165020	73bec354df88e636a7ba387c5ee6012cd623058c473b75ffa9f8cdbb6aa8fb48	31207
tasks.editor.existing-reopened.ordinary	bc6b7e395f2f692926a5ee79401f7071460519acf6109d363a283e6155374bdb	154014	ec34de0171a6e77ce2dfc9498378167abe69ca07a9f5d1adf8a5abe59982a503	41033
