surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
tracks.entry-delete.conflict.large	20e65fd20f32cb9627c7f6c82d5fe596c17e9576f3d815bfd9a4de7467398a68	161488	f2d80fca39e4ae8b396df77b48ae40afeb854dd8f6a1cc6ac5d42f033bf5ad7e	19864
tracks.entry-delete.conflict.ordinary	63aea6e6f3c3a34adcb4f1518c0c7dd3f35e1467c42cd4b6f8745b9a38987b26	107127	beaf4aa8d6bed2657b043381ea07822fe5492b70d36872ae645c3dff7531609e	19867
tracks.entry-delete.latest.large	33a5d683c559b55e49d541c080fe5fa727a6be6f811a3d25291b549abea010e6	140523	c292cb63c8625c33b67f0b473f9da36abcf34727adef6580f71ad3c03eceb62c	23746
tracks.entry-delete.latest.ordinary	d063c061e52eea88e239efd68f592530a9d48ee7025e656206947ad4ad70064e	109201	e3b199d9572361f3f23e4be2570a6797ceff9cb9f140a535e64b6d6f677cfd7a	23738
tracks.entry-delete.review.large	c5b94f690d08fd33d268d27a622aae1ab371e9bb3aaf07b4755b0b6c4e7ee0b8	173332	72d0b6e96792fb6d988d4f9953851dd722513a97ad43441725a4223361105e16	20325
tracks.entry-delete.review.ordinary	2b25853e22ca57ddf724f0d672e1d541cd316a01301ad4d20ac39b79a94f9c2a	117918	5983eed988c98bca85391280d795ff8c0a6936a192f190276ac1d954ab1f2d78	20327
