surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
settings.backup-preview	eb7809628e13439203044b97e4538056cb586a6a9c18559a94343e4bd17ab8c2	116017	3aabdc6d4e96c0c3a888c911a40bd0425a0dd3b278a1693d989d97abe158d712	24458
settings.restore-confirm.large	1e7d74c02fce887027d843204bd767934289cd57279ee58c0aaa8e60fa40f50b	170864	44367076f09ac9c7b27e33531e1445bc9847a07afc52b087f430f446f7eee010	21370
settings.restore-preview	c04f736baca78e311148962d78735976710cd89d28fd9404c4b28faf861e4a7e	114180	6c2ebab3e08d1c69827bacc09879387419e28c25c3cb989126e0f246f470a19b	21836
settings.restore-preview.large	5b3f225cbd274b5ce7c7f76307bb9d4b6fdc3c7de4b0f411ae7c962dc3b512ed	99089	23a509c2b2f6a12b6f25f5c6e952a40716ea15f1764c0c3ddcf3aedfb6e1475e	20832
