--------- beginning of main
09-09 17:41:02.620 I/WhipDraftState(22435): stateKey=android:fragments; bytes=392
09-09 17:41:02.620 I/WhipDraftState(22435): stateKey=android:lastAutofillId; bytes=72
09-09 17:41:02.620 I/WhipDraftState(22435): stateKey=android:state; bytes=52
09-09 17:41:02.620 I/WhipDraftState(22435): stateKey=android:viewHierarchyState; bytes=212
09-09 17:41:02.622 I/WhipDraftState(22435): stateKey=androidx.lifecycle.BundlableSavedStateRegistry.key; bytes=25856
09-09 17:41:02.622 I/WhipDraftState(22435): stateKey=whip.launch.delivery_counter; bytes=88
09-09 17:41:02.622 I/WhipDraftState(22435): stateKey=whip.launch.pending_requests; bytes=88
09-09 17:41:15.636 I/WhipDraftState(22435): acceptedChars=600008; completedSessions=0; activityStateBytes=28648
09-09 17:41:15.636 I/WhipDraftState(22435): stateKey=@android:autofillResetNeeded; bytes=84
09-09 17:41:15.636 I/WhipDraftState(22435): stateKey=android:fragments; bytes=392
09-09 17:41:15.636 I/WhipDraftState(22435): stateKey=android:lastAutofillId; bytes=72
09-09 17:41:15.636 I/WhipDraftState(22435): stateKey=android:state; bytes=52
09-09 17:41:15.636 I/WhipDraftState(22435): stateKey=android:viewHierarchyState; bytes=212
09-09 17:41:15.638 I/WhipDraftState(22435): stateKey=androidx.lifecycle.BundlableSavedStateRegistry.key; bytes=27744
09-09 17:41:15.638 I/WhipDraftState(22435): stateKey=whip.launch.delivery_counter; bytes=88
09-09 17:41:15.638 I/WhipDraftState(22435): stateKey=whip.launch.pending_requests; bytes=88
