surface_id	png_sha256	png_bytes	xml_sha256	xml_bytes
tracks.detail.insights.mixed-units	f39138f31d18c66a9eb5f09a9f99f0a672920f070560796d931900c1290b3cd8	221335	8f0e80cee8467aeba00ee0682655fe34ab11525a02dff30118bc1afc200a2d80	86787
tracks.detail.insights.temperature-and-scale	0deff83ee0627ed45b67ff5787ccf906c500d718a3383eda6976fa4dcd7f1243	216656	22e2ae0e5eb00364d432aae88ee8d4ffbce421d16863adb85cdd856936384c3d	87202
tracks.insights.mixed-units	0181e3937c9fdf389cae0fb24daf27ab13933d05c0ae18ef484650b96b18ab49	192660	eebd566e302b028dcc612710b7950f68a3d7c91e5b5e4d24d7f91839a45fedcd	73604
tracks.insights.temperature-and-scale	2dc0286c4814ee6461e2d0ef7c4c55564a704404cd93fd2e39bf8f9e1cf63726	182387	cb09112d6a1c35c519118c99d49e7d615f1d274450dd0a9bab8eff7674796544	72737
